path,source,raw_label,label,md5,phash,resolution,is_exact_dup,dup_cluster,dup_cluster_size,group,group_source
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (33).jpg,nora,anger,anger,5a9e8e451b1cb3bac000dfbb6a46df03,f44e573b0f6a205c,224x224,False,D000026,2,ID00049,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (34).jpg,nora,anger,anger,9e886dc22ef1f0bdc4b53e1382824c96,a74b9e42de00697d,224x224,False,D000027,2,ID00049,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (35).jpg,nora,anger,anger,f94cd9c6cf254d3a3e0e8c20de976ed4,ab9ff0ccb4386984,224x224,False,D000028,3,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (36).jpg,nora,anger,anger,a7da1af4ef59437c0925b4d1fb823d25,f8caa58b656c14e3,224x224,False,D000029,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (37).jpg,nora,anger,anger,c8d67dcbc13b1619237c23cd2815a2d3,a888f0e4b17969e7,224x224,False,D000030,3,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (38).jpg,nora,anger,anger,a742d9ba7db18a38016dad5dc5c8338b,eacaa5b1e46c34d1,224x224,False,D000031,12,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (39).jpg,nora,anger,anger,1040a77c653aba929c174c5fe6a3a28f,80d512353b7e07fc,224x224,False,D000032,2,ID00069,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (4).jpg,nora,anger,anger,10d6132accbba5bbef2e1bd461e8dee6,d08107c74b7f374a,224x224,False,D000022,15,ID00112,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (40).jpg,nora,anger,anger,217212a4eddc95eeb31eaf96b5f39134,d4807f027c2f62dd,224x224,False,D000011,13,ID00069,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (5).jpg,nora,anger,anger,9bb370fe1ae3aa64bab90e72b68cbf13,d0d103c64b7fa7c2,224x224,False,D000022,15,ID00112,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (6).jpg,nora,anger,anger,b42f01babba597e9d97f633f5152206f,898457931c7a7637,224x224,False,D000036,5,ID00112,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (7).jpg,nora,anger,anger,768a95e46a0d85ee943fc94dea3f9e68,c0034e6d7b7070f7,224x224,False,D000037,9,ID00080,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (8).jpg,nora,anger,anger,26a11bf3bd9ac56cfce8ea5bb6e3ed13,95565b782f252593,224x224,False,D000038,2,ID00080,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (9).jpg,nora,anger,anger,42d065bc688f98dffd802953c811aa0d,cc9abbc5a4745958,224x224,False,D000039,10,ID00098,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0038_aug_1.jpg,nora,fear,fear,95e592471591b80a5855e2be93faa0c9,91aa54f54a4e9d35,224x224,False,D000040,2,ID00061,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0038_aug_2.jpg,nora,fear,fear,29734af3037438742ae6c08a9dea350a,c4ff15341f19c925,224x224,False,D000041,2,ID00061,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0038_aug_3.jpg,nora,fear,fear,7ee131869e12130fb0db17a3e1761782,93e854e74a4cb475,224x224,False,D000042,9,ID00061,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0038_aug_4.jpg,nora,fear,fear,cd7a8cf4a86ce10ad89560b136dcf08c,c6bd09b03f1be161,224x224,False,D000043,12,ID00061,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0038_aug_5.jpg,nora,fear,fear,c98c37524495fdda005c0c06e3f74332,93e85ce56b4e9434,224x224,False,D000042,9,ID00061,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0038_aug_6.jpg,nora,fear,fear,4a0b51df4a1ae1087677568a88067f87,c6bd09b03e1be1e1,224x224,False,D000043,12,ID00061,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0080_aug_1.jpg,nora,fear,fear,3ce6b3e11860f2737ec92c41945fe711,95fd42c59d079217,224x224,False,D000046,9,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0080_aug_2.jpg,nora,fear,fear,34a826e4a68ea03a08d3ead2667f1de6,90e882d5cd5ed752,224x224,False,D000047,6,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0080_aug_3.jpg,nora,fear,fear,0472e8a55ac5525e0c463e0a1cc4f052,90a883d5cd56d75a,224x224,False,D000047,6,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0080_aug_4.jpg,nora,fear,fear,1b2ccbc90131256e54640d2541caa034,e5a8f780d80ad787,224x224,False,D000049,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0080_aug_5.jpg,nora,fear,fear,a4e7fffc23704ad8f378b7654ad2a42e,d5fd42c59d4d8216,224x224,False,D000046,9,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0080_aug_6.jpg,nora,fear,fear,bdec0eb46e2d2ca02c1618edeb911775,d5fd46c49d0f0217,224x224,False,D000046,9,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0104_aug_1.jpg,nora,fear,fear,5875cdad1f33ec8da0671d812c5e5b24,80ae6a906d7af593,224x224,False,D000052,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0104_aug_2.jpg,nora,fear,fear,2468c31be497e8dca3974adad31ebb0b,95fd53957d2a4092,224x224,False,D000053,3,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0104_aug_3.jpg,nora,fear,fear,78cd385a84c006cb7c8de65e75853097,91ae72957916859b,224x224,False,D000054,7,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0104_aug_4.jpg,nora,fear,fear,2d8b2842559daac96a678ffe20488a92,91ae7a956912e593,224x224,False,D000054,7,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0104_aug_5.jpg,nora,fear,fear,c613f695c13e1fd3554400540f1c9566,80a652d56916f59f,224x224,False,D000056,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0104_aug_6.jpg,nora,fear,fear,b43f89aad190fe589a14a6253e60115a,c0e807c03d57d6cf,224x224,False,D000057,7,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0144_aug_1.jpg,nora,fear,fear,e7dc7d7dc27eac826d404de885903f91,d91878be752f610c,224x224,False,D000058,7,ID00088,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0144_aug_2.jpg,nora,fear,fear,943468f2b227a35c128d328923c65011,9d4a396a42747579,224x224,False,D000059,2,ID00088,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0144_aug_3.jpg,nora,fear,fear,c7cdd1f36545b0272c5769b988def33c,8c4e2deb227a7459,224x224,False,D000060,5,ID00088,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0144_aug_4.jpg,nora,fear,fear,e13f91bd99444491865712c9cdb32314,8e4f2ada227265f8,224x224,False,D000061,3,ID00088,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0144_aug_5.jpg,nora,fear,fear,c251315f7f0ca13172cd27d76200c593,db187e8f7723202c,224x224,False,D000062,3,ID00088,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\0144_aug_6.jpg,nora,fear,fear,6e34edf2ce1a228f3f45b56ff5056fb3,8d463dea22727559,224x224,False,D000060,5,ID00088,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1254_aug_1.jpg,nora,fear,fear,a6b54cbf45f8ccb15f58b04640fe47a6,ca287ff0447ec4d2,224x224,False,D000064,2,ID00057,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1254_aug_2.jpg,nora,fear,fear,ef1623ef5c3620a2cf12b76945d2d245,ca7c6ae2c12bb0a7,224x224,False,D000065,8,ID00057,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1254_aug_3.jpg,nora,fear,fear,cfe3fb24380eb283e539a15d6cb05cc8,8b7d7fa2c42950a3,224x224,False,D000066,2,ID00057,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1254_aug_4.jpg,nora,fear,fear,96d7ba56065097e1bf44175593528f74,ea7ceac0c12ab4a7,224x224,False,D000065,8,ID00057,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1254_aug_5.jpg,nora,fear,fear,1288d672a4201fdddfafdd401607ab19,aa7eafe2e5219085,224x224,False,D000068,2,ID00057,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1254_aug_6.jpg,nora,fear,fear,dcf8f294374b9157cdcb79ac9ac1448c,9f283bb5907ce1d0,224x224,False,D000069,12,ID00057,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1258_aug_1.jpg,nora,fear,fear,e05b9add07f6ae756c9d089e8817a6a0,936c6e71217c72a5,224x224,False,D000070,5,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1258_aug_2.jpg,nora,fear,fear,2e9f12425bf42a840217a887dc0c28a3,c63b3f74743160f0,224x224,False,D000071,28,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1258_aug_3.jpg,nora,fear,fear,ef0ac638ce653278ae8909833a0b3835,c6393d74743366d0,224x224,False,D000071,28,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1258_aug_4.jpg,nora,fear,fear,ae0ab0258f2cafdc0b10d176ef541af6,c63d3964747127f0,224x224,False,D000071,28,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1258_aug_5.jpg,nora,fear,fear,aebc56b8116c4932a87605efdd92250f,c63d3864656327dc,224x224,False,D000071,28,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\fear\1258_aug_6.jpg,nora,fear,fear,cfdb6c13fa5525732f1f9ee152ccfb11,c63d3b64743127f0,224x224,False,D000071,28,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0017_aug_1.jpg,nora,joy,joy,b95fd9cef2ca804e075ce1155c1e1e3f,f4c2402327be93f5,224x224,False,D000076,3,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0018_aug_1.jpg,nora,joy,joy,0b4484311eb9ef2109b73dab8dfacda0,c47f0f3439b1d0d2,224x224,False,D000077,2,ID00095,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0019_aug_1.jpg,nora,joy,joy,8068b979852610edf8f4b6daaf112f44,feca752b60217391,224x224,False,D000078,2,ID00116,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0032_aug_1.jpg,nora,joy,joy,e9f180cf06dd0f29b0d97eaa72685307,94792bfe7450c86a,224x224,False,D000079,4,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0043_aug_1.jpg,nora,joy,joy,37684356f24c020a1148dc5b8d278164,d0e57d2d1d8a1794,224x224,False,D000080,3,ID00193,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0126_aug_1.jpg,nora,joy,joy,bd1e63e3557306e1d69d6ada8b4d3016,966b389578cce598,224x224,False,D000081,4,ID00166,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0140_aug_1.jpg,nora,joy,joy,32558561fac3b661744cce54e11f22bf,84ea29bd7f34b0b0,224x224,False,D000082,2,ID00045,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0148_aug_1.jpg,nora,joy,joy,771c44a22778b64667e5189c7ba2d9e0,aa3ee8af51b981a1,224x224,False,D000083,2,ID00091,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0150_aug_1.jpg,nora,joy,joy,5a31db54047e7a9892db4415bc53fb57,953c3c616347cc75,224x224,False,D000084,8,ID00052,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0157_aug_1.jpg,nora,joy,joy,5981d0ea1a92907b2db50456a6bab38a,8e5aa93db4c3da24,224x224,False,D000085,6,ID00005,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0205_aug_1.jpg,nora,joy,joy,aba1abe67954d9ba68f11678348fc19c,9748567b30657a96,224x224,False,D000086,2,ID00091,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0214_aug_1.jpg,nora,joy,joy,1a13f79fad226eef13b3247abfa82ce3,c402676f297915d7,224x224,False,D000087,3,ID00005,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0231_aug_1.jpg,nora,joy,joy,c957fe143ffe92fa9d68e42b23d07967,f52a02eac8f5c393,224x224,False,D000088,5,ID00097,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0232_aug_1.jpg,nora,joy,joy,6143939dc3d0b697634971900ddb9c09,d41c8b3edc687833,224x224,False,D000089,5,ID00052,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0261_aug_1.jpg,nora,joy,joy,e9fddd94b3a3a65708149a9a9ffe89c8,d52a4e6d793d3884,224x224,False,D000090,7,ID00024,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0370_aug_1.jpg,nora,joy,joy,8d5af8e3836527a3077ccee49980952f,87c85ac71a2f298f,224x224,False,D000091,6,ID00204,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0390_aug_1.jpg,nora,joy,joy,92d2d0967a28d58398ccc25a962949e6,91a54a616f7435b3,224x224,False,D000092,3,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0393_aug_1.jpg,nora,joy,joy,dcc2e3500693eb74d2926c28cd5a7f7e,81fe55e09144ded6,224x224,False,D000093,4,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0418_aug_1.jpg,nora,joy,joy,a9cd4ff1e40f7d7b4d4fd8ce9dad0648,82af2b2937691dac,224x224,False,D000094,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0432_aug_1.jpg,nora,joy,joy,c6f7a5bba7d1ae1f0c10f6c36b87ab22,c49803f6cff07b90,224x224,False,D000095,2,ID00059,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0561_aug_1.jpg,nora,joy,joy,43a492a2eead1046db089c010c29add1,95550a462fa275cf,224x224,False,D000096,2,ID00069,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0606_aug_1.jpg,nora,joy,joy,bda5a015317fdde3a88521c2a59a3578,844157e80f2f6dd3,224x224,False,D000097,5,ID00014,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0762_aug_1.jpg,nora,joy,joy,7652623382f1dcfd7e06e625e900063c,c5420f2dbf1f3036,224x224,False,D000098,7,ID00012,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0902_aug_1.jpg,nora,joy,joy,dfd530ed8685b9ce61092e9148119db3,81c574d6396acbb4,224x224,False,D000099,2,ID00071,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\0907_aug_1.jpg,nora,joy,joy,c5e3744dcdb527dcfb646e31b1165a3e,811d80fecf385da3,224x224,False,D000100,2,ID00067,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1034_aug_1.jpg,nora,joy,joy,13cb00e2c2c7fa4f465fc3d446303906,85280ed297f40f77,224x224,False,D000101,2,ID00032,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1114_aug_1.jpg,nora,joy,joy,bfdeeb57151c6a92663de57f7f95ca4c,914e562b3c2d74b6,224x224,False,D000102,4,ID00194,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1122_aug_1.jpg,nora,joy,joy,70bed78b13df5bb9b0aa37e8c8224648,c71e2c73622fcd0c,224x224,False,D000103,3,ID00104,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1126_aug_1.jpg,nora,joy,joy,cbee7f08ac620908b80b864b64b43b8f,802237767532d7c7,224x224,False,D000104,4,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1129_aug_1.jpg,nora,joy,joy,36ceede5c1f4b4679e5c64b89a8349bf,b319556792e48e96,224x224,False,D000105,6,ID00034,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1214_aug_1.jpg,nora,joy,joy,9e90e1b55b0696ff56adce39cd7391bb,955578682269f3a7,224x224,False,D000106,8,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1220_aug_1.jpg,nora,joy,joy,cdf4b01b9af442eba687a8ffa0a39333,c08667c6c917de17,224x224,False,D000107,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1234_aug_1.jpg,nora,joy,joy,01542b6949aa855fb72453f7e7024d1f,eafb397070e2d282,224x224,False,D000108,3,ID00198,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1235_aug_1.jpg,nora,joy,joy,d20239f54eef6a6253f046fe6e644195,856a3e2b3d64f036,224x224,False,D000109,4,ID00114,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\joy\1237_aug_1.jpg,nora,joy,joy,7a3ab4fbc443c4d3938a51eacf0c4b78,c23f29706d7111e7,224x224,False,D000110,2,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0223_aug_1.jpg,nora,natural,natural,b85b55538d2355f10f77634afc0662e3,954a327df92af00d,224x224,False,D000111,7,ID00024,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0223_aug_2.jpg,nora,natural,natural,7031b4ca34dcaafcf3ee764e46deb05a,9546323dd92bf01d,224x224,False,D000111,7,ID00024,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0223_aug_3.jpg,nora,natural,natural,632327ca3712b369b41be5b3c352af42,c0176778ac77a558,224x224,False,D000113,2,ID00024,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0223_aug_4.jpg,nora,natural,natural,8dd4b55d6129a93c6725cf9d9ac5891c,d0176fac4e376c18,224x224,False,D000114,3,ID00024,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0376_aug_1.jpg,nora,natural,natural,c104d23dfb878881df6991618ab4d6ac,c15e4d0e273a36bc,224x224,False,D000115,2,ID00052,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0376_aug_2.jpg,nora,natural,natural,f1523c519e1d1ecf95fd9dda2cab1102,d54b7c48223717f8,224x224,False,D000116,2,ID00052,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0376_aug_3.jpg,nora,natural,natural,f0d5149502783cca08b2c76eed2fa9f4,c1576c0e233774da,224x224,False,D000117,3,ID00052,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0376_aug_4.jpg,nora,natural,natural,48161ca38652564e2bf4134ee37e77f5,950a395b766761a9,224x224,False,D000118,9,ID00052,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0377_aug_1.jpg,nora,natural,natural,97fb45b8673cfffc907bdc710339571a,c5855a94697e643e,224x224,False,D000119,7,ID00159,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0377_aug_2.jpg,nora,natural,natural,5e2ecc2864a3496bff2ff2faa2b7206e,c48f5685627e6578,224x224,False,D000120,2,ID00159,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0377_aug_3.jpg,nora,natural,natural,25715474d883757d8735cef6a168ed8c,c5855e856a7e641e,224x224,False,D000119,7,ID00159,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0377_aug_4.jpg,nora,natural,natural,bf94f1dbe77b07f9595d61cc299af722,91d207c83e2b756d,224x224,False,D000122,2,ID00159,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0378_aug_1.jpg,nora,natural,natural,c0f6293945d5577d5660188fcaaef12e,d18d0ac7373d246d,224x224,False,D000123,7,ID00111,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0378_aug_2.jpg,nora,natural,natural,f477d8b804b4b15642706306cb054dda,845f5f127629703d,224x224,False,D000124,2,ID00111,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0378_aug_3.jpg,nora,natural,natural,95c00b147dbfa6d85c3e2e50d8294916,809c5f96626d717c,224x224,False,D000125,2,ID00111,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0378_aug_4.jpg,nora,natural,natural,f2a5676390a85984eb6c8cc225846b29,d50a4ac7373c6569,224x224,False,D000123,7,ID00111,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0395_aug_1.jpg,nora,natural,natural,36bd716e2ab5dff0ae281205ac360b6d,c47b09303f2e7cc3,224x224,False,D000127,6,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0395_aug_2.jpg,nora,natural,natural,1ce2e3bb42e807fc5f6cf00d93ecf09e,912a5e346b723d96,224x224,False,D000128,19,ID00010,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\Natural\0395_aug_3.jpg,nora,natural,natural,ca497c848b6aa2dd5bc4604aebe8aaa5,c47f0b603e236dc3,224x224,False,D000129,4,ID00010,facenet_agglomerative
